,cords
383,"(39.752729, -86.250293, 0.0)"
384,"(39.752729, -86.250293, 0.0)"
385,"(39.83505746988361, -86.2715602208501, 0.0)"
386,"(39.810577, -86.0647121, 0.0)"
387,"(39.9124512, -86.1518971, 0.0)"
388,"(39.9124512, -86.1518971, 0.0)"
389,"(39.73813927263659, -86.27530079517442, 0.0)"
390,"(39.73813927263659, -86.27530079517442, 0.0)"
391,"(39.821595, -86.094476, 0.0)"
392,"(39.821595, -86.094476, 0.0)"
393,"(39.821595, -86.094476, 0.0)"
394,"(39.776319, -86.241249, 0.0)"
395,"(39.72527263265306, -86.23095536734694, 0.0)"
396,"(39.72527263265306, -86.23095536734694, 0.0)"
397,"(39.72527263265306, -86.23095536734694, 0.0)"
398,"(39.77064781081081, -86.09030525675675, 0.0)"
399,"(39.77064781081081, -86.09030525675675, 0.0)"
400,"(39.776319, -86.241249, 0.0)"
401,"(39.776319, -86.241249, 0.0)"
402,"(39.815627, -86.159226, 0.0)"
403,"(39.815627, -86.159226, 0.0)"
404,"(39.815627, -86.159226, 0.0)"
405,"(39.79628004081633, -86.18501571428571, 0.0)"
406,"(39.79628004081633, -86.18501571428571, 0.0)"
407,"(39.77064781081081, -86.09030525675675, 0.0)"
408,"(39.7726132, -86.2051872, 0.0)"
409,"(39.7726132, -86.2051872, 0.0)"
410,"(39.782637, -86.115211, 0.0)"
411,"(39.782637, -86.115211, 0.0)"
412,"(39.782637, -86.115211, 0.0)"
413,"(39.782637, -86.115211, 0.0)"
414,"(39.79628004081633, -86.18501571428571, 0.0)"
415,"(39.79628004081633, -86.18501571428571, 0.0)"
416,"(39.79628004081633, -86.18501571428571, 0.0)"
417,"(39.79628004081633, -86.18501571428571, 0.0)"
418,"(39.8191114137931, -86.001951, 0.0)"
419,"(39.8191114137931, -86.001951, 0.0)"
420,"(39.8191114137931, -86.001951, 0.0)"
421,"(39.8191114137931, -86.001951, 0.0)"
422,"(39.765601, -86.160105, 0.0)"
423,"(39.7630776, -86.15876947766199, 0.0)"
424,"(39.77045611689947, -86.12434879807107, 0.0)"
425,"(39.79808223427859, -86.08441389187142, 0.0)"
426,"(39.79808223427859, -86.08441389187142, 0.0)"
427,"(39.9124512, -86.1518971, 0.0)"
428,"(39.9124512, -86.1518971, 0.0)"
429,"(39.705731, -86.15186, 0.0)"
430,"(39.705731, -86.15186, 0.0)"
431,"(39.872407, -86.122006, 0.0)"
432,"(39.775041349999995, -86.12282270115935, 0.0)"
433,"(39.9273006, -86.2302922, 0.0)"
434,"(39.9273006, -86.2302922, 0.0)"
435,"(39.9273006, -86.2302922, 0.0)"
436,"(39.869655160804015, -86.24445708542713, 0.0)"
437,"(39.869655160804015, -86.24445708542713, 0.0)"
438,"(39.869655160804015, -86.24445708542713, 0.0)"
439,"(39.869655160804015, -86.24445708542713, 0.0)"
440,"(39.76163378970662, -86.06587091297456, 0.0)"
441,"(39.748076, -86.150669, 0.0)"
442,"(39.748076, -86.150669, 0.0)"
443,"(39.748076, -86.150669, 0.0)"
444,"(39.82663839429246, -86.10887522240522, 0.0)"
445,"(39.82663839429246, -86.10887522240522, 0.0)"
446,"(39.82663839429246, -86.10887522240522, 0.0)"
447,"(39.82663839429246, -86.10887522240522, 0.0)"
448,"(39.82663839429246, -86.10887522240522, 0.0)"
449,"(39.82663839429246, -86.10887522240522, 0.0)"
450,"(39.76163378970662, -86.06587091297456, 0.0)"
451,"(39.82663839429246, -86.10887522240522, 0.0)"
452,"(39.82663839429246, -86.10887522240522, 0.0)"
453,"(39.82663839429246, -86.10887522240522, 0.0)"
454,"(39.810577, -86.0647121, 0.0)"
455,"(39.810577, -86.0647121, 0.0)"
456,"(39.73619012244898, -86.23975740816326, 0.0)"
457,"(39.75364470252856, -86.24731908560751, 0.0)"
458,"(39.75364470252856, -86.24731908560751, 0.0)"
459,"(39.75364470252856, -86.24731908560751, 0.0)"
460,"(39.7512809, -86.1791682, 0.0)"
461,"(39.7512809, -86.1791682, 0.0)"
462,"(39.7726132, -86.2051872, 0.0)"
463,"(39.7726132, -86.2051872, 0.0)"
464,"(39.858952, -86.239598, 0.0)"
465,"(39.858952, -86.239598, 0.0)"
466,"(39.8381331, -86.24422095855766, 0.0)"
467,"(39.8381331, -86.24422095855766, 0.0)"
468,"(39.77807010040648, -86.0976233285208, 0.0)"
469,"(39.77807010040648, -86.0976233285208, 0.0)"
470,"(39.77807010040648, -86.0976233285208, 0.0)"
471,"(39.77807010040648, -86.0976233285208, 0.0)"
472,"(39.77807010040648, -86.0976233285208, 0.0)"
473,"(39.76400075, -86.15872586076406, 0.0)"
474,"(39.76400075, -86.15872586076406, 0.0)"
475,"(39.8381331, -86.24422095855766, 0.0)"
476,"(39.8381331, -86.24422095855766, 0.0)"
477,"(39.77807010040648, -86.0976233285208, 0.0)"
478,"(39.79105, -86.009462, 0.0)"
479,"(39.79105, -86.009462, 0.0)"
480,"(39.79105, -86.009462, 0.0)"
481,"(39.78735, -86.199615, 0.0)"
482,"(39.70106409090909, -86.27006518181818, 0.0)"
483,"(39.774642, -86.191464, 0.0)"
484,"(39.78735, -86.199615, 0.0)"
485,"(39.78735, -86.199615, 0.0)"
486,"(39.82711198768265, -86.00786865230044, 0.0)"
